subject_id,group,age,score_before,score_after,satisfaction,gender
1,Treatment B,45,86.1,107.1,5,M
2,Control,64,73.28,72.02,2,M
3,Treatment A,40,57.65,81.71,4,F
4,Control,31,69.45,73.52,1,F
5,Control,33,41.36,59.69,4,F
6,Treatment A,43,80.33,87.78,7,M
7,Control,31,72.91,80.36,3,M
8,Control,45,67.13,86.88,10,M
9,Control,32,81.29,92.55,8,M
10,Treatment A,55,70.56,78.56,6,M
11,Treatment B,55,79.1,68.57,6,M
12,Treatment A,31,84.43,77.38,1,F
13,Treatment A,34,61.76,70.43,5,M
14,Treatment A,34,57.47,74.21,3,F
15,Control,34,44.16,50.19,10,F
16,Treatment B,23,71.84,72.11,1,F
17,Treatment A,21,76.78,67.07,8,M
18,Treatment A,49,50.15,48.88,7,M
19,Treatment B,48,91.31,97.35,7,F
20,Treatment B,47,57.66,55.81,10,M
21,Treatment B,34,38.45,35.73,10,M
22,Control,57,92.42,97.01,10,F
23,Treatment B,34,40.4,56.99,4,M
24,Control,45,84.46,94.94,6,M
25,Treatment A,18,80.82,88.1,9,M
26,Control,32,74.79,81.3,3,M
27,Treatment B,33,62.16,71.57,9,F
28,Control,34,77.54,81.66,4,F
29,Treatment B,19,85.73,87.44,5,M
30,Control,43,55.21,66.12,7,M
31,Treatment A,47,84.65,87.84,6,M
32,Control,26,83.96,79.45,10,F
33,Treatment A,21,74.4,90.94,8,M
34,Treatment B,25,61.93,51.97,8,M
35,Treatment A,40,84.03,101.18,8,F
36,Treatment B,27,77.62,86.68,3,M
37,Treatment B,33,54.76,52.01,10,F
38,Treatment A,22,64.49,69.68,6,M
39,Treatment A,58,82.29,83.85,7,F
40,Control,35,71.72,83.18,9,M
41,Control,48,86.29,97.59,10,M
42,Treatment A,40,64.88,73.57,10,F
43,Treatment A,34,55.0,65.97,4,F
44,Treatment A,33,102.9,106.99,5,F
45,Treatment A,26,44.79,63.88,8,F
46,Treatment B,29,62.5,77.29,1,F
47,Treatment A,22,74.2,75.38,6,M
48,Treatment A,21,84.79,96.28,4,F
49,Treatment A,60,79.7,90.49,5,F
50,Treatment A,38,104.67,107.59,5,F
51,Treatment B,52,68.24,70.53,2,F
52,Control,25,56.91,71.62,8,M
53,Control,19,66.7,71.59,2,M
54,Control,23,65.2,72.28,4,M
