date,region,category,amount,quantity,customer_id
2024-01-01,East,Clothing,126.24,2,32
2024-01-02,West,Food,24.31,3,53
2024-01-03,North,Electronics,148.4,5,59
2024-01-04,East,Electronics,244.46,7,69
2024-01-05,East,Electronics,95.98,5,62
2024-01-06,West,Electronics,171.22,6,4
2024-01-07,North,Books,124.72,3,86
2024-01-08,North,Electronics,36.23,4,18
2024-01-09,East,Books,190.35,3,99
2024-01-10,South,Books,94.97,2,81
2024-01-11,East,Electronics,160.76,4,56
2024-01-12,East,Electronics,165.25,2,24
2024-01-13,East,Clothing,64.29,8,66
2024-01-14,East,Food,71.85,7,13
2024-01-15,West,Electronics,88.39,4,62
2024-01-16,North,Clothing,257.06,5,54
2024-01-17,West,Clothing,51.33,2,15
2024-01-18,West,Food,216.88,2,69
2024-01-19,West,Books,107.2,3,3
2024-01-20,East,Electronics,135.46,4,37
2024-01-21,South,Food,192.46,4,37
2024-01-22,North,Electronics,88.99,2,3
2024-01-23,South,Clothing,242.26,5,63
2024-01-24,West,Clothing,75.15,2,35
2024-01-25,West,Books,269.4,4,52
2024-01-26,South,Clothing,59.68,4,87
2024-01-27,South,Clothing,299.83,2,28
2024-01-28,South,Food,76.28,3,94
2024-01-29,West,Electronics,92.41,5,18
2024-01-30,West,Electronics,46.6,3,36
2024-01-31,North,Food,60.19,1,33
2024-02-01,North,Books,102.12,5,64
2024-02-02,West,Electronics,106.36,1,26
2024-02-03,South,Clothing,219.55,3,48
2024-02-04,South,Electronics,92.07,6,40
2024-02-05,North,Clothing,151.56,2,17
2024-02-06,West,Books,102.58,6,40
2024-02-07,North,Food,130.97,5,7
2024-02-08,North,Electronics,70.2,5,57
2024-02-09,East,Food,73.62,4,8
2024-02-10,East,Electronics,70.66,7,56
2024-02-11,East,Clothing,256.64,3,31
2024-02-12,South,Food,276.3,5,59
2024-02-13,West,Electronics,68.55,3,58
2024-02-14,West,Clothing,75.88,6,12
2024-02-15,West,Food,169.21,4,48
2024-02-16,West,Food,300.69,4,31
2024-02-17,East,Electronics,281.76,4,83
2024-02-18,South,Electronics,61.48,2,63
2024-02-19,South,Electronics,82.48,4,74
2024-02-20,East,Clothing,117.16,7,39
2024-02-21,South,Electronics,117.64,4,76
2024-02-22,East,Food,83.79,2,20
2024-02-23,West,Food,46.73,4,48
2024-02-24,East,Electronics,89.94,4,71
2024-02-25,West,Electronics,316.61,3,54
2024-02-26,West,Books,78.79,4,78
2024-02-27,North,Food,123.64,1,75
2024-02-28,East,Clothing,411.34,9,71
2024-02-29,North,Books,55.61,2,29
2024-03-01,East,Electronics,182.74,2,74
2024-03-02,East,Electronics,319.78,4,93
2024-03-03,North,Food,179.99,3,73
2024-03-04,North,Electronics,235.82,3,48
2024-03-05,East,Clothing,207.35,4,74
2024-03-06,South,Food,136.95,5,83
2024-03-07,West,Electronics,280.25,4,56
2024-03-08,North,Food,150.12,8,95
2024-03-09,West,Electronics,107.28,4,17
2024-03-10,South,Electronics,122.81,4,9
2024-03-11,South,Electronics,127.23,4,97
2024-03-12,South,Clothing,68.58,6,34
2024-03-13,North,Clothing,105.48,6,45
2024-03-14,South,Food,116.36,5,88
2024-03-15,North,Electronics,146.8,5,9
2024-03-16,South,Electronics,409.39,3,7
2024-03-17,West,Clothing,113.79,7,16
2024-03-18,West,Electronics,309.14,4,19
2024-03-19,East,Clothing,181.64,3,6
2024-03-20,West,Electronics,133.3,7,11
2024-03-21,East,Food,79.66,5,76
2024-03-22,West,Electronics,105.56,4,61
2024-03-23,North,Electronics,96.29,4,42
2024-03-24,West,Books,61.83,7,13
2024-03-25,East,Clothing,61.83,5,12
2024-03-26,East,Electronics,133.94,3,85
2024-03-27,South,Electronics,234.33,2,74
2024-03-28,North,Books,89.43,4,20
2024-03-29,West,Books,20.8,5,50
2024-03-30,South,Clothing,47.89,6,36
2024-03-31,West,Books,154.72,7,92
2024-04-01,West,Food,31.97,3,88
2024-04-02,South,Books,156.28,5,69
2024-04-03,South,Food,177.0,5,37
2024-04-04,South,Clothing,89.55,1,12
2024-04-05,South,Clothing,66.91,5,99
2024-04-06,South,Clothing,99.22,6,40
2024-04-07,West,Clothing,125.78,3,54
2024-04-08,South,Clothing,37.48,6,2
2024-04-09,North,Food,322.96,5,50
2024-04-10,East,Food,151.83,6,41
2024-04-11,South,Clothing,165.61,3,45
2024-04-12,South,Books,148.53,3,9
2024-04-13,West,Electronics,260.17,1,62
2024-04-14,South,Clothing,99.92,5,86
2024-04-15,South,Books,144.54,2,47
2024-04-16,South,Electronics,70.25,3,5
2024-04-17,West,Clothing,304.81,4,76
2024-04-18,South,Clothing,126.25,3,1
2024-04-19,East,Food,65.46,3,44
2024-04-20,West,Electronics,82.49,2,22
2024-04-21,East,Electronics,16.78,4,38
2024-04-22,West,Books,64.35,5,19
2024-04-23,South,Food,4.45,7,80
2024-04-24,East,Food,174.86,4,31
2024-04-25,West,Food,121.33,3,67
2024-04-26,North,Food,35.6,4,87
2024-04-27,South,Electronics,94.76,2,42
2024-04-28,West,Electronics,115.67,3,82
2024-04-29,North,Clothing,36.82,2,26
2024-04-30,West,Clothing,80.8,4,13
2024-05-01,North,Food,112.92,5,58
2024-05-02,South,Food,76.31,3,18
2024-05-03,East,Food,46.94,3,67
2024-05-04,North,Clothing,46.94,4,87
2024-05-05,West,Books,87.2,3,3
2024-05-06,South,Books,71.31,3,55
2024-05-07,North,Clothing,128.48,4,89
2024-05-08,West,Clothing,298.22,2,91
2024-05-09,West,Clothing,207.47,7,58
2024-05-10,West,Clothing,111.82,3,63
2024-05-11,North,Clothing,63.2,3,91
2024-05-12,North,Clothing,222.71,3,52
2024-05-13,North,Food,169.99,5,89
2024-05-14,East,Food,258.84,2,24
2024-05-15,North,Food,144.67,3,72
2024-05-16,North,Food,348.89,5,9
2024-05-17,North,Clothing,118.17,4,37
2024-05-18,East,Books,64.92,4,94
2024-05-19,North,Electronics,66.71,4,83
2024-05-20,West,Clothing,135.79,7,53
